"ID","Название тест кейса","Предусловия","Шаги тест кейса","Ожидаемый результат","Тип"
"1","Регистрация нового пользователя","Пользователь не зарегистрирован; валидный email; доступ в интернет","1. Открыть страницу регистрации GitHub; 2. Заполнить поля username, email, password; 3. Нажать кнопку 'Sign up'; 4. Подтвердить email через письмо","Новый пользователь зарегистрирован, отображается приветственное сообщение","Положительный"
"2","Вход в систему с валидными данными","Пользователь зарегистрирован; известны корректные логин и пароль","1. Открыть страницу входа GitHub; 2. Ввести корректный username и password; 3. Нажать кнопку 'Sign in'","Пользователь успешно авторизован, перенаправление на домашнюю страницу","Положительный"
"3","Вход в систему с неверным паролем","Пользователь зарегистрирован","1. Открыть страницу входа; 2. Ввести корректный username и неверный password; 3. Нажать 'Sign in'","Отображается сообщение об ошибке: 'Неверный пароль'","Отрицательный"
"4","Восстановление пароля","Пользователь зарегистрирован; забыт пароль","1. Открыть страницу входа; 2. Нажать 'Forgot password'; 3. Ввести email; 4. Получить письмо с инструкциями; 5. Следовать инструкциям","Пользователь получает возможность восстановить доступ к аккаунту","Положительный"
"5","Создание нового репозитория","Пользователь авторизован; имеются права на создание репозитория","1. Нажать кнопку 'New repository'; 2. Ввести название и описание; 3. Выбрать публичный/приватный репозиторий; 4. Нажать 'Create repository'","Новый репозиторий создан и отображается на дашборде","Положительный"
"6","Создание репозитория с пустым названием","Пользователь авторизован","1. Нажать 'New repository'; 2. Оставить поле названия пустым; 3. Нажать 'Create repository'","Отображается ошибка 'Название не может быть пустым'","Отрицательный"
"7","Удаление репозитория","Пользователь является владельцем репозитория; репозиторий существует","1. Перейти в настройки репозитория; 2. Нажать 'Delete repository'; 3. Подтвердить удаление (возможно, ввести название репозитория)","Репозиторий удалён; при необходимости приходит подтверждение по email","Деструктивный"
"8","Создание новой ветки","Пользователь авторизован; репозиторий существует","1. Перейти в репозиторий; 2. Нажать на список веток (например, 'Branch: master'); 3. Ввести имя новой ветки; 4. Нажать 'Create branch'","Новая ветка создана и отображается в списке веток","Положительный"
"9","Слияние веток через Pull Request","В репозитории существуют минимум две ветки с изменениями","1. Перейти в раздел 'Pull Requests'; 2. Нажать 'New Pull Request'; 3. Выбрать ветку для слияния; 4. Нажать 'Create Pull Request'; 5. Проверить изменения; 6. Нажать 'Merge Pull Request'","Ветки успешно слиты, изменения применены в основной ветке","Положительный"
"10","Создание Issue","Пользователь авторизован; репозиторий существует","1. Перейти в репозиторий; 2. Нажать 'Issues'; 3. Нажать 'New Issue'; 4. Заполнить заголовок и описание; 5. Нажать 'Submit new issue'","Issue создан и отображается в списке Issues","Положительный"
