"ID";"Название тест кейса";"Предусловия";"Шаги тест кейса";"Ожидаемый результат";"Тип";"Важность";"Трудозатратность"
"1";"Регистрация нового пользователя";"Пользователь не зарегистрирован; валидный email; доступ в интернет";"1. Открыть страницу регистрации GitHub; 2. Ввести валидный email; 3. Ввести уникальное имя пользователя; 4. Ввести пароль; 5. Нажать кнопку 'Sign up'; 6. Подтвердить регистрацию через письмо";"Новый пользователь зарегистрирован, отображается страница приветствия";"Положительный";"Высокая";"Средняя"
"2";"Вход в систему с валидными данными";"Пользователь зарегистрирован; известны корректные логин и пароль";"1. Открыть страницу входа GitHub; 2. Ввести корректный username; 3. Ввести корректный пароль; 4. Нажать кнопку 'Sign in'; 5. Дождаться загрузки дашборда; 6. Проверить отображение профиля";"Пользователь успешно вошел в систему, дашборд отображается";"Положительный";"Высокая";"Низкая"
"3";"Вход в систему с неверным паролем";"Пользователь зарегистрирован";"1. Открыть страницу входа GitHub; 2. Ввести корректный username; 3. Ввести неверный пароль; 4. Нажать кнопку 'Sign in'; 5. Дождаться обработки запроса; 6. Проверить наличие сообщения об ошибке";"Отображается сообщение 'Неверный пароль'";"Отрицательный";"Высокая";"Низкая"
"4";"Процесс восстановления пароля";"Пользователь зарегистрирован; пароль забыт";"1. Открыть страницу входа GitHub; 2. Нажать 'Forgot password'; 3. Ввести зарегистрированный email; 4. Нажать 'Send recovery email'; 5. Открыть почтовый ящик; 6. Следовать инструкциям в письме";"Пользователь может восстановить доступ, пароль изменён";"Положительный";"Высокая";"Средняя"
"5";"Создание нового репозитория";"Пользователь авторизован; имеются права на создание репозитория";"1. Войти в аккаунт GitHub; 2. Нажать кнопку 'New repository'; 3. Ввести название репозитория; 4. Ввести описание репозитория; 5. Выбрать публичный/приватный статус; 6. Нажать 'Create repository'";"Репозиторий создан и отображается на дашборде";"Положительный";"Высокая";"Средняя"
"6";"Создание репозитория с пустым названием";"Пользователь авторизован";"1. Войти в аккаунт GitHub; 2. Нажать 'New repository'; 3. Оставить поле названия пустым; 4. Заполнить описание; 5. Выбрать статус репозитория; 6. Нажать 'Create repository'";"Появляется сообщение об ошибке 'Название не может быть пустым'";"Отрицательный";"Средняя";"Низкая"
"7";"Удаление репозитория";"Пользователь является владельцем репозитория; репозиторий существует";"1. Войти в аккаунт GitHub; 2. Перейти в список репозиториев; 3. Выбрать репозиторий для удаления; 4. Перейти в настройки репозитория; 5. Нажать 'Delete repository'; 6. Подтвердить удаление, введя имя репозитория";"Репозиторий удалён, приходит подтверждение по email";"Деструктивный";"Высокая";"Высокая"
"8";"Создание новой ветки";"Пользователь авторизован; репозиторий существует";"1. Войти в аккаунт GitHub; 2. Перейти в выбранный репозиторий; 3. Нажать на текущую ветку (например, 'master'); 4. Ввести имя новой ветки; 5. Нажать 'Create branch'; 6. Проверить наличие новой ветки в списке";"Новая ветка успешно создана";"Положительный";"Средняя";"Низкая"
"9";"Создание Pull Request";"Пользователь авторизован; в репозитории есть несколько веток";"1. Войти в аккаунт GitHub; 2. Перейти в репозиторий; 3. Выбрать ветку с изменениями; 4. Нажать 'New Pull Request'; 5. Заполнить заголовок и описание; 6. Нажать 'Create Pull Request'";"Pull Request создан и отображается в списке запросов";"Положительный";"Высокая";"Средняя"
"10";"Закрытие Issue";"Существует открытый Issue в репозитории";"1. Войти в аккаунт GitHub; 2. Перейти в репозиторий; 3. Открыть выбранное Issue; 4. Прочитать описание; 5. Нажать 'Close Issue'; 6. Проверить изменение статуса на 'Closed'";"Issue закрыт";"Положительный";"Средняя";"Низкая"
"11";"Комментирование Issue";"Существует Issue; пользователь авторизован";"1. Войти в аккаунт GitHub; 2. Перейти в репозиторий; 3. Открыть Issue; 4. Ввести текст комментария; 5. Нажать 'Comment'; 6. Проверить отображение комментария";"Комментарий добавлен";"Положительный";"Средняя";"Низкая"
"12";"Fork репозитория";"Пользователь авторизован; репозиторий публичный";"1. Войти в аккаунт GitHub; 2. Перейти в публичный репозиторий; 3. Нажать кнопку 'Fork'; 4. Выбрать целевой аккаунт; 5. Дождаться завершения операции; 6. Проверить появление форка в аккаунте";"Репозиторий успешно форкнут";"Положительный";"Средняя";"Низкая"
"13";"Клонирование репозитория (git clone)";"Установлен git-клиент; репозиторий публичный";"1. Войти в аккаунт GitHub; 2. Перейти на страницу репозитория; 3. Скопировать URL для клонирования; 4. Открыть терминал; 5. Выполнить команду 'git clone <URL>'; 6. Проверить локальную копию репозитория";"Репозиторий склонирован на локальную машину";"Положительный";"Средняя";"Средняя"
"14";"Коммит и push изменений";"Локально внесены изменения; репозиторий настроен";"1. Внести изменения в код; 2. Сохранить изменения; 3. Выполнить команду 'git add .'; 4. Выполнить команду 'git commit -m \"Test commit\"'; 5. Выполнить команду 'git push origin <branch_name>'; 6. Проверить обновление на сервере";"Изменения успешно отправлены в удалённый репозиторий";"Положительный";"Высокая";"Средняя"
"15";"Добавление Collaborator";"Пользователь авторизован; имеет права администратора в репозитории";"1. Войти в аккаунт GitHub; 2. Перейти в репозиторий; 3. Открыть настройки репозитория; 4. Перейти в раздел 'Manage access'; 5. Нажать 'Invite a collaborator'; 6. Ввести имя пользователя и отправить приглашение";"Приглашение отправлено, уведомление доставлено";"Положительный";"Средняя";"Средняя"
"16";"Отправка Pull Request review";"Пользователь авторизован; существует открытый Pull Request";"1. Войти в аккаунт GitHub; 2. Перейти в репозиторий; 3. Открыть Pull Request; 4. Нажать 'Review changes'; 5. Выбрать вариант 'Approve' или 'Request changes'; 6. Добавить комментарий и отправить review";"Review успешно отправлен";"Положительный";"Средняя";"Средняя"
"17";"Просмотр уведомлений";"Пользователь авторизован; имеются новые уведомления";"1. Войти в аккаунт GitHub; 2. Нажать на иконку уведомлений; 3. Просмотреть список уведомлений; 4. Проверить выделение новых уведомлений; 5. Кликнуть по одному уведомлению; 6. Открыть подробности уведомления";"Уведомления отображаются корректно";"Положительный";"Средняя";"Низкая"
"18";"Включение двухфакторной аутентификации (2FA)";"Пользователь авторизован";"1. Войти в аккаунт GitHub; 2. Перейти в настройки аккаунта; 3. Выбрать раздел 'Security'; 4. Нажать 'Enable two-factor authentication'; 5. Отсканировать QR-код; 6. Подтвердить активацию 2FA";"2FA включена, выводится сообщение-подтверждение";"Положительный";"Высокая";"Средняя"
"19";"Поиск репозитория";"Пользователь авторизован";"1. Войти в аккаунт GitHub; 2. Перейти на главную страницу GitHub; 3. Найти поисковую строку; 4. Ввести название репозитория; 5. Нажать 'Search'; 6. Проверить результаты поиска";"Результаты поиска соответствуют запросу";"Положительный";"Средняя";"Низкая"
"20";"Подписка на репозиторий (Watch)";"Пользователь авторизован; репозиторий существует";"1. Войти в аккаунт GitHub; 2. Перейти в нужный репозиторий; 3. Найти кнопку 'Watch'; 4. Нажать 'Watch'; 5. Дождаться обновления статуса; 6. Проверить статус подписки";"Пользователь подписан на репозиторий";"Положительный";"Средняя";"Низкая"
"21";"Создание Gist";"Пользователь авторизован";"1. Войти в аккаунт GitHub; 2. Перейти на страницу создания Gist; 3. Ввести заголовок Gist; 4. Ввести описание; 5. Добавить один или несколько файлов с кодом; 6. Нажать 'Create public gist'";"Gist создан и отображается на странице пользователя";"Положительный";"Средняя";"Средняя"
"22";"Редактирование профиля пользователя";"Пользователь авторизован";"1. Войти в аккаунт GitHub; 2. Перейти в настройки профиля; 3. Изменить имя или bio; 4. Проверить корректность внесённых изменений; 5. Нажать 'Save'; 6. Обновить страницу для проверки";"Профиль обновлён, изменения сохранены";"Положительный";"Низкая";"Низкая"
"23";"Загрузка файла через веб-интерфейс";"Пользователь авторизован; имеет права на запись в репозитории";"1. Войти в аккаунт GitHub; 2. Перейти в репозиторий; 3. Нажать кнопку 'Upload files'; 4. Выбрать файл для загрузки; 5. Перетащить файл в окно загрузки; 6. Нажать 'Commit changes'";"Файл загружен и отображается в репозитории";"Положительный";"Средняя";"Средняя"
